|  Main Features  |  Radio  |  Connection of External Devices  |  USB (MP3/WMA)  |  BluetoothBluetooth is a registered trademark of Bluetooth SIG®   |  Satellite Radio Ready  |
------------,------------,------------,------------,------------,------------
(A)—Touch Screen Radio,X,X,X,X,United States/Canada
(B)—AM/FM Radio,X,X,,X,Not Available

|  Wave Bands (United States/Canada)  | |  Wave Bands (All Other Countries)  | |
------------,------------,------------,------------
FM,87.7—107.9 MHz,UKW (FM),87.5—108.0 MHz
AM,530—1710 kHz,MW,522—1629 kHz
WX,162.4—162.55 MHz,LW,153—279 kHz

|  Separator Status  |  Disengaged  |
------------,------------
Chopper Position,Fully Raised

|  Feeder House Lower Shaft Speeds  | |
------------,------------
Fixed Speed (if equipped),520 rpm
Variable Speed (if equipped),520-780 rpm

|  Engine State  |  Running  |
------------,------------
Wheel Speed,0 km/h (0 mph)
Operator,In Seat
Machine State,Park Brake Engaged

|  Recommended Interval  |  See “Perform Calibration When” section for more information.  |
------------,------------
Estimated Time Required,Approximately 1 min

|  Engine State  |  Running  |
------------,------------
Operating State,Parked on a level surface

|  Engine State  |  Running  |
------------,------------
Operating State,Parked on a level surface

|  Crop Type  |  Corn  |
------------,------------
Accepted Samples,10
Last Accepted,32 min ago

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 1-2 min

|  Engine State  |  Running at high idle  |
------------,------------
Operating State,Unloading auger disengaged Parked on a level surface

|  Estimated Time Required  |  Approximately 5 min  |
------------,------------

|  Engine State  |  Running  |
------------,------------
Operating State,Parked on a level surface

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 1-2 min

|  Engine State  |  Running at high idle  |
------------,------------
Operating State,Parked on a level surface

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 3-4 min

|  Engine State  |  Running at high idle  |
------------,------------
Operating State,Parked on a level surface

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 1 min

|  Engine State  |  Running at high idle  |
------------,------------
Operating State,Parked on a level surface

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 5 min

|  Engine State  |  Running at high idle  |
------------,------------
Operating State,Parked on a level surface

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 5 min

|  Engine State  |  Running at high idle  |
------------,------------
Operating State,Parked on a level surface

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 3-4 min

|  Engine State  |  Running at high idle  |
------------,------------
Operating State,Parked on a level surface

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 3-4 min

|  Engine State  |  Running at high idle  |
------------,------------
Operating State,Separator disengaged Parked on a level surface

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 3-4 min

|  Engine State  |  Combine in field mode Running at high idle  |
------------,------------
Operating State,Parked on a level surface

"|  622X, 625X, 722X, and 725X Extendable Platforms  |  5 cm (2 in)  |"
------------,------------
"630X, 640X, 730X, and 740X Extendable Platforms",6 cm (2-3/8 in)
635X and 735X Extendable Platforms,7 cm (2-13/16 in)

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 1-2 min

|  Engine State  |  Running  |
------------,------------
Operating State,Parked on a level surface

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 4min

|  Engine State  |  OFF  |
------------,------------
Operating State,Parked on a level surface

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 4 min

|  Engine State  |  OFF  |
------------,------------
Operating State,Parked on a level surface

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 5 min

|  Engine State  |  Not running  |
------------,------------
Operating State,Parked on a level surface

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 5 min

|  Engine State  |  Not running  |
------------,------------
Operating State,Parked on a level surface

|  Recommendations  |  Ensure that the machine is in park. Ensure that the key is in the ON position. Ensure that ample volume is available in the hydraulic reservoir for discharge.  |
------------,------------
""

|  Engine State  |  Running  |
------------,------------
Machine State,Parked on a level surface
Header State,Not engaged

|  Recommended Interval  |  As Needed  |
------------,------------
Last Run,Displays Date When Procedure Was Last Performed

|  Operating State  |  Harvesting and separating functions are stopped. Ensure that accidental activation of machinery is not possible.  |
------------,------------
Engine State,Key switch in the RUN position is required. Can also be performed with the engine running.

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 5 min

|  Engine State  |  Machine in field mode Running at high idle  |
------------,------------
Operating State,Parked on a level surface

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 2 min

|  Engine State  |  Machine in field mode  |
------------,------------
Operating State,Header must be disengaged

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 2 min

|  Engine State  |  Machine in field mode Running at high idle  |
------------,------------

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 1 min

|  Engine State  |  Set to high idle  |
------------,------------
Operating State,Header must be disengaged Separator must be engaged

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 1—2 min

|  Engine State  |  Running  |
------------,------------
Operating State,Parked on a level surface

|  Recommended Interval  |  As Needed  |
------------,------------
Estimated Time Required,Approximately 1—2 min

|  Engine State  |  Running  |
------------,------------
Operating State,Parked on a level surface

|  **Current State of Radio**  |  **Apple ® CarPlay ® Not Running**  | |
------------,------------,------------
**Short Press**,**Long Press**
**Idle**,Start Native VR Session,
**Idle (Phone Connected Through Bluetooth ®)**,Start Native VR Session,Start Device VR (SiriSiri is a trademark of Apple Inc.® or Other Phone Voice Assistant)
**Incoming Phone Call**,Accept Phone Call,–
**Active Phone Call**,Start Native VR Session
**Listening for Command**,–,Aborts Native VR Session
**Processing Command**
**Playing Voice Prompt**,Interrupts Voice Prompt

|  **Current State of Radio**  |  **Apple ® CarPlay ® Running**  | |
------------,------------,------------
**Short Press**,**Long Press**
**Idle**,Talk to SiriSiri is a trademark of Apple Inc.®,
**Incoming Phone Call**,Accept Phone Call,
**Active Phone Call**,–,
**Active VR Session**,Ends VR Session,

|  Engine State  |  Running  |
------------,------------
Road Transport Disconnect Switch,Field Position
Header and Separator Switch,Engaged

|  Concave Type  |  Corn  |  Soybeans  |  Wheat Barely Small Grains  |  Popcorn Food Corn  |  Sorghum (Milo) Sunflowers (Confection)  |  Sunflowers (Oil)  |  Canola  |
------------,------------,------------,------------,------------,------------,------------,------------
Small Wire,NR,NR,Best,NR,NR,Average,Best
Large Wire,Good,Good,Good,NR,Best,Best,Good
Round Bar,Best,Best,Average,Best,Average,Best,Average
Best = Provides best level of performance. Good = Provides a good level of performance. Average = Provides an average level of performance. NR = Not recommended.,,,,,,,

|  **Threshing Element Groups**  |  **Separator Tine Groups**  | |
------------,------------,------------
"**Group 1 Elements =** 1, 2, 3","**Group 1 Tines =** 1, 2","**Group 8 Tines =** 15, 16"
"**Group 2 Elements =** 4, 5, 6","**Group 2 Tines =** 3, 4","**Group 9 Tines =** 17, 18"
"**Group 3 Elements =** 7, 8, 9","**Group 3 Tines =** 5, 6","**Group 10 Tines =** 19, 20"
"**Group 4 Elements =** 10, 11, 12","**Group 4 Tines =** 7, 8","**Group 11 Tines =** 21, 22"
